Date,Club_code,Instructor,When_hour,Dayname,GX OCCUPANCY%,CLUB_SWIPES
2022-06-09 00:00:00,SHV,Eulin T.,19,Thu,100.0%,241
2022-06-21 00:00:00,SHV,Eulin T.,19,Tue,100.0%,276
2022-06-10 00:00:00,SHV,Evangelina M.,18,Fri,100.0%,258
2022-06-05 00:00:00,SHV,Melinda T.,15,Sun,100.0%,130
2022-06-05 00:00:00,SHV,Melinda T.,16,Sun,100.0%,122
2022-06-12 00:00:00,SHV,Melinda T.,15,Sun,100.0%,138
2022-06-22 00:00:00,SHV,Melinda T.,8,Wed,100.0%,100
2022-06-26 00:00:00,SHV,Melinda T.,15,Sun,100.0%,109
2022-06-26 00:00:00,SHV,Melinda T.,16,Sun,100.0%,112
2022-06-09 00:00:00,SHV,Sandy S.,9,Thu,100.0%,105
2022-06-03 00:00:00,SHV,Tracy T.,9,Fri,100.0%,87
2022-06-07 00:00:00,SHV,Tracy T.,10,Tue,100.0%,101
2022-06-10 00:00:00,SHV,Tracy T.,9,Fri,100.0%,116
2022-06-11 00:00:00,SHV,Tracy T.,9,Sat,100.0%,232
2022-06-11 00:00:00,SHV,Tracy T.,11,Sat,100.0%,255
2022-06-24 00:00:00,SHV,Tracy T.,8,Fri,100.0%,85
2022-06-05 00:00:00,SMO,Cass C.,14,Sun,100.0%,151
2022-06-19 00:00:00,SMO,Cass C.,14,Sun,100.0%,135
2022-06-20 00:00:00,SMO,Molly L.,12,Mon,100.0%,255
2022-06-10 00:00:00,SMO,Sophia S.,18,Fri,100.0%,258
2022-06-14 00:00:00,SMO,Sophia S.,19,Tue,100.0%,257
2022-06-21 00:00:00,SMO,Sophia S.,18,Tue,100.0%,445
2022-06-22 00:00:00,SMO,Sophia S.,19,Wed,100.0%,311
2022-06-24 00:00:00,SMO,Sophia S.,18,Fri,100.0%,275
2022-06-01 00:00:00,SPL,Ana B.,11,Wed,100.0%,141
2022-06-15 00:00:00,SPL,Ana B.,11,Wed,100.0%,161
2022-06-04 00:00:00,SPL,Betty K.,10,Sat,100.0%,247
2022-06-03 00:00:00,SPL,Grace G.,18,Fri,100.0%,268
2022-06-20 00:00:00,SPL,Molly L.,19,Mon,100.0%,294
2022-06-02 00:00:00,SPL,Nicole C.,11,Thu,100.0%,156
2022-06-18 00:00:00,SRP,Natalie C.,13,Sat,100.0%,169
2022-06-06 00:00:00,STP,Fen L.,19,Mon,100.0%,303
2022-06-25 00:00:00,STP,Wilda K.,12,Sat,100.0%,203
2022-06-04 00:00:00,STP,Ana B.,12,Sat,95.2%,175
2022-06-11 00:00:00,STP,Ana B.,12,Sat,95.2%,174
2022-06-01 00:00:00,STP,Celia H.,18,Wed,95.2%,436
2022-06-01 00:00:00,STP,Celia H.,19,Wed,95.2%,298
2022-06-22 00:00:00,STP,Celia H.,19,Wed,95.2%,311
2022-06-13 00:00:00,STP,Fen L.,19,Mon,95.2%,307
2022-06-20 00:00:00,STP,Fen L.,18,Mon,95.2%,441
2022-06-20 00:00:00,STP,Fen L.,19,Mon,95.2%,294
2022-06-23 00:00:00,STP,Fen L.,19,Thu,95.2%,282
2022-06-22 00:00:00,STP,Joanna C.,11,Wed,95.2%,177
2022-06-18 00:00:00,STP,Wilda K.,12,Sat,95.2%,188
2022-06-18 00:00:00,STP,Wilda K.,15,Sat,95.2%,122
2022-06-04 00:00:00,SRP,Natalie C.,14,Sat,94.7%,198
2022-06-16 00:00:00,SRP,Waihan K.,18,Thu,94.7%,391
2022-06-12 00:00:00,SPL,Molly L.,9,Sun,94.1%,181
2022-06-06 00:00:00,SPL,Betty K.,9,Mon,93.8%,77
2022-06-07 00:00:00,SPL,Fen L.,18,Tue,93.8%,456
2022-06-08 00:00:00,SPL,Fen L.,13,Wed,93.8%,65
2022-06-21 00:00:00,SPL,Fen L.,18,Tue,93.8%,445
2022-06-06 00:00:00,SPL,Molly L.,19,Mon,93.8%,303
2022-06-13 00:00:00,SPL,Molly L.,19,Mon,93.8%,307
2022-06-19 00:00:00,SPL,Molly L.,9,Sun,93.8%,184
2022-06-02 00:00:00,SPL,Natalie C.,19,Thu,93.8%,287
2022-06-09 00:00:00,SPL,Natalie C.,19,Thu,93.8%,241
2022-06-18 00:00:00,SPL,Nicole C.,11,Sat,93.8%,240
2022-06-06 00:00:00,SDG,Alvan C.,19,Mon,92.9%,303
2022-06-02 00:00:00,SDG,Ardella B.,12,Thu,92.9%,238
2022-06-14 00:00:00,SDG,Ardella B.,10,Tue,92.9%,120
2022-06-21 00:00:00,SDG,Ardella B.,11,Tue,92.9%,183
2022-06-21 00:00:00,SDG,Ardella B.,12,Tue,92.9%,271
2022-06-15 00:00:00,SDG,Grace G.,19,Wed,92.9%,259
2022-06-12 00:00:00,SDG,Jan T.,10,Sun,92.9%,187
2022-06-12 00:00:00,SDG,Jan T.,11,Sun,92.9%,146
2022-06-05 00:00:00,SDG,Wilda K.,13,Sun,92.9%,127
2022-06-19 00:00:00,SDG,Wilda K.,12,Sun,92.9%,116
2022-06-08 00:00:00,SHV,Ana B.,19,Wed,92.3%,316
2022-06-16 00:00:00,SHV,Ana B.,12,Thu,92.3%,202
2022-06-20 00:00:00,SHV,Ana B.,17,Mon,92.3%,200
2022-06-22 00:00:00,SHV,Ana B.,19,Wed,92.3%,311
2022-06-23 00:00:00,SHV,Ana B.,10,Thu,92.3%,91
2022-06-18 00:00:00,SHV,Ashley W.,9,Sat,92.3%,193
2022-06-25 00:00:00,SHV,Ashley W.,11,Sat,92.3%,249
2022-06-25 00:00:00,SHV,Ashley W.,12,Sat,92.3%,203
2022-06-05 00:00:00,SHV,Eulin T.,10,Sun,92.3%,190
2022-06-07 00:00:00,SHV,Eulin T.,18,Tue,92.3%,456
2022-06-14 00:00:00,SHV,Eulin T.,18,Tue,92.3%,470
2022-06-16 00:00:00,SHV,Eulin T.,19,Thu,92.3%,243
2022-06-02 00:00:00,SHV,Fen L.,7,Thu,92.3%,139
2022-06-08 00:00:00,SHV,Melinda T.,7,Wed,92.3%,203
2022-06-12 00:00:00,SHV,Melinda T.,16,Sun,92.3%,112
2022-06-15 00:00:00,SHV,Melinda T.,8,Wed,92.3%,124
2022-06-19 00:00:00,SHV,Melinda T.,16,Sun,92.3%,87
2022-06-20 00:00:00,SHV,Melinda T.,9,Mon,92.3%,90
2022-06-22 00:00:00,SHV,Melinda T.,9,Wed,92.3%,98
2022-06-04 00:00:00,SHV,Tracy T.,9,Sat,92.3%,191
2022-06-10 00:00:00,SHV,Tracy T.,8,Fri,92.3%,103
2022-06-17 00:00:00,SHV,Tracy T.,7,Fri,92.3%,129
2022-06-05 00:00:00,SMO,Cass C.,15,Sun,92.3%,130
2022-06-12 00:00:00,SMO,Cass C.,14,Sun,92.3%,145
2022-06-12 00:00:00,SMO,Cass C.,15,Sun,92.3%,138
2022-06-26 00:00:00,SMO,Cass C.,14,Sun,92.3%,146
2022-06-06 00:00:00,SMO,Molly L.,12,Mon,92.3%,259
2022-06-11 00:00:00,SMO,Shu-yi F.,11,Sat,92.3%,255
2022-06-01 00:00:00,SMO,Sophia S.,19,Wed,92.3%,298
2022-06-03 00:00:00,SMO,Sophia S.,17,Fri,92.3%,226
2022-06-07 00:00:00,SMO,Sophia S.,18,Tue,92.3%,456
2022-06-07 00:00:00,SMO,Sophia S.,19,Tue,92.3%,308
2022-06-08 00:00:00,SMO,Sophia S.,18,Wed,92.3%,451
2022-06-08 00:00:00,SMO,Sophia S.,19,Wed,92.3%,316
2022-06-10 00:00:00,SMO,Sophia S.,17,Fri,92.3%,196
2022-06-15 00:00:00,SMO,Sophia S.,18,Wed,92.3%,490
2022-06-02 00:00:00,STP,Betty K.,9,Thu,90.5%,102
2022-06-10 00:00:00,STP,Betty K.,10,Fri,90.5%,91
2022-06-13 00:00:00,STP,Fen L.,18,Mon,90.5%,449
2022-06-16 00:00:00,STP,Fen L.,19,Thu,90.5%,243
2022-06-04 00:00:00,STP,Wilda K.,15,Sat,90.5%,121
2022-06-04 00:00:00,SRP,Natalie C.,13,Sat,89.5%,165
2022-06-08 00:00:00,SRP,Natalie C.,18,Wed,89.5%,451
2022-06-08 00:00:00,SRP,Natalie C.,19,Wed,89.5%,316
2022-06-11 00:00:00,SRP,Natalie C.,10,Sat,89.5%,257
2022-06-15 00:00:00,SRP,Natalie C.,18,Wed,89.5%,490
2022-06-18 00:00:00,SRP,Natalie C.,10,Sat,89.5%,259
2022-06-22 00:00:00,SRP,Natalie C.,19,Wed,89.5%,311
2022-06-02 00:00:00,SRP,Waihan K.,18,Thu,89.5%,361
2022-06-08 00:00:00,SPL,Ana B.,11,Wed,87.5%,149
2022-06-14 00:00:00,SPL,Cass C.,11,Tue,87.5%,150
2022-06-25 00:00:00,SPL,Cass C.,10,Sat,87.5%,243
2022-06-01 00:00:00,SPL,Fen L.,13,Wed,87.5%,64
2022-06-07 00:00:00,SPL,Fen L.,19,Tue,87.5%,308
2022-06-13 00:00:00,SPL,Molly L.,16,Mon,87.5%,109
2022-06-23 00:00:00,SPL,Natalie C.,19,Thu,87.5%,282
2022-06-09 00:00:00,SPL,Nicole C.,11,Thu,87.5%,195
2022-06-13 00:00:00,SPL,Sandy S.,9,Mon,87.5%,116
2022-06-07 00:00:00,SDG,Alvan C.,19,Tue,85.7%,308
2022-06-14 00:00:00,SDG,Alvan C.,19,Tue,85.7%,257
2022-06-21 00:00:00,SDG,Alvan C.,18,Tue,85.7%,445
2022-06-25 00:00:00,SDG,Grace G.,14,Sat,85.7%,172
2022-06-09 00:00:00,SDG,Jan T.,19,Thu,85.7%,241
2022-06-11 00:00:00,SDG,Jan T.,9,Sat,85.7%,232
2022-06-03 00:00:00,SDG,Wilda K.,11,Fri,85.7%,158
2022-06-05 00:00:00,SDG,Wilda K.,12,Sun,85.7%,130
2022-06-06 00:00:00,STP,Fen L.,18,Mon,85.7%,457
2022-06-16 00:00:00,STP,Fen L.,18,Thu,85.7%,391
2022-06-15 00:00:00,STP,Joanna C.,11,Wed,85.7%,161
2022-06-08 00:00:00,STP,Pfeiffer C.,18,Wed,85.7%,451
2022-06-08 00:00:00,STP,Pfeiffer C.,19,Wed,85.7%,316
2022-06-24 00:00:00,STP,Sandy S.,11,Fri,85.7%,175
2022-06-08 00:00:00,SHV,Ana B.,18,Wed,84.6%,451
2022-06-14 00:00:00,SHV,Ana B.,9,Tue,84.6%,94
2022-06-20 00:00:00,SHV,Ana B.,18,Mon,84.6%,441
2022-06-21 00:00:00,SHV,Ana B.,14,Tue,84.6%,62
2022-06-23 00:00:00,SHV,Ana B.,17,Thu,84.6%,162
2022-06-18 00:00:00,SHV,Ashley W.,11,Sat,84.6%,240
2022-06-02 00:00:00,SHV,Cass C.,9,Thu,84.6%,102
2022-06-02 00:00:00,SHV,Eulin T.,19,Thu,84.6%,287
2022-06-14 00:00:00,SHV,Eulin T.,19,Tue,84.6%,257
2022-06-19 00:00:00,SHV,Eulin T.,14,Sun,84.6%,135
2022-06-21 00:00:00,SHV,Eulin T.,18,Tue,84.6%,445
2022-06-11 00:00:00,SHV,Fen L.,13,Sat,84.6%,157
2022-06-01 00:00:00,SHV,Melinda T.,8,Wed,84.6%,134
2022-06-01 00:00:00,SHV,Melinda T.,9,Wed,84.6%,108
2022-06-19 00:00:00,SHV,Melinda T.,15,Sun,84.6%,127
2022-06-11 00:00:00,SHV,Sophia S.,12,Sat,84.6%,174
2022-06-03 00:00:00,SHV,Tracy T.,7,Fri,84.6%,133
2022-06-03 00:00:00,SHV,Tracy T.,8,Fri,84.6%,111
2022-06-04 00:00:00,SHV,Tracy T.,11,Sat,84.6%,236
2022-06-14 00:00:00,SHV,Tracy T.,10,Tue,84.6%,120
2022-06-17 00:00:00,SHV,Tracy T.,8,Fri,84.6%,102
2022-06-21 00:00:00,SHV,Tracy T.,10,Tue,84.6%,107
2022-06-05 00:00:00,SMO,Cass C.,13,Sun,84.6%,127
2022-06-26 00:00:00,SMO,Cass C.,13,Sun,84.6%,165
2022-06-10 00:00:00,SMO,Molly L.,11,Fri,84.6%,161
2022-06-04 00:00:00,SMO,Shu-yi F.,12,Sat,84.6%,175
2022-06-11 00:00:00,SMO,Shu-yi F.,12,Sat,84.6%,174
2022-06-18 00:00:00,SMO,Shu-yi F.,12,Sat,84.6%,188
2022-06-25 00:00:00,SMO,Shu-yi F.,11,Sat,84.6%,249
2022-06-01 00:00:00,SMO,Sophia S.,18,Wed,84.6%,436
2022-06-03 00:00:00,SMO,Sophia S.,18,Fri,84.6%,268
2022-06-15 00:00:00,SMO,Sophia S.,19,Wed,84.6%,259
2022-06-17 00:00:00,SMO,Sophia S.,18,Fri,84.6%,268
2022-06-21 00:00:00,SMO,Sophia S.,19,Tue,84.6%,276
2022-06-22 00:00:00,SMO,Sophia S.,18,Wed,84.6%,459
2022-06-01 00:00:00,SMO,Wilda K.,12,Wed,84.6%,254
2022-06-18 00:00:00,SRP,Natalie C.,14,Sat,84.2%,188
2022-06-25 00:00:00,SRP,Natalie C.,13,Sat,84.2%,166
2022-06-25 00:00:00,SRP,Natalie C.,14,Sat,84.2%,172
2022-06-09 00:00:00,SRP,Waihan K.,19,Thu,84.2%,241
2022-06-16 00:00:00,SRP,Waihan K.,19,Thu,84.2%,243
2022-06-11 00:00:00,SPL,Nicole C.,11,Sat,82.4%,255
2022-06-01 00:00:00,SPL,Ana B.,10,Wed,81.3%,93
2022-06-15 00:00:00,SPL,Ana B.,10,Wed,81.3%,118
2022-06-04 00:00:00,SPL,Cass C.,11,Sat,81.3%,236
2022-06-07 00:00:00,SPL,Cass C.,9,Tue,81.3%,96
2022-06-07 00:00:00,SPL,Cass C.,11,Tue,81.3%,169
2022-06-07 00:00:00,SPL,Cass C.,12,Tue,81.3%,284
2022-06-14 00:00:00,SPL,Cass C.,12,Tue,81.3%,277
2022-06-26 00:00:00,SPL,Molly L.,9,Sun,81.3%,182
2022-06-05 00:00:00,SPL,Nicole C.,12,Sun,81.3%,130
2022-06-12 00:00:00,SPL,Nicole C.,12,Sun,81.3%,112
2022-06-16 00:00:00,SPL,Nicole C.,11,Thu,81.3%,175
2022-06-26 00:00:00,SPL,Nicole C.,12,Sun,81.3%,150
2022-06-02 00:00:00,SPL,Pfeiffer C.,10,Thu,81.3%,100
2022-06-10 00:00:00,SPL,Pfeiffer C.,10,Fri,81.3%,91
2022-06-17 00:00:00,SPL,Pfeiffer C.,10,Fri,81.3%,79
2022-06-24 00:00:00,SPL,Pfeiffer C.,10,Fri,81.3%,96
2022-06-20 00:00:00,SPL,Sandy S.,9,Mon,81.3%,90
2022-06-02 00:00:00,STP,Betty K.,10,Thu,81.0%,100
2022-06-22 00:00:00,STP,Celia H.,18,Wed,81.0%,459
2022-06-26 00:00:00,STP,Celia H.,11,Sun,81.0%,165
2022-06-13 00:00:00,STP,Joanna C.,11,Mon,81.0%,221
2022-06-25 00:00:00,STP,Wilda K.,15,Sat,81.0%,114
2022-06-01 00:00:00,SRP,Molly L.,12,Wed,78.9%,254
2022-06-15 00:00:00,SRP,Molly L.,12,Wed,78.9%,266
2022-06-01 00:00:00,SRP,Natalie C.,19,Wed,78.9%,298
2022-06-03 00:00:00,SRP,Natalie C.,18,Fri,78.9%,268
2022-06-10 00:00:00,SRP,Natalie C.,19,Fri,78.9%,159
2022-06-15 00:00:00,SRP,Natalie C.,19,Wed,78.9%,259
2022-06-22 00:00:00,SRP,Natalie C.,18,Wed,78.9%,459
2022-06-09 00:00:00,SRP,Waihan K.,18,Thu,78.9%,409
2022-06-23 00:00:00,SRP,Waihan K.,19,Thu,78.9%,282
2022-06-02 00:00:00,SDG,Ardella B.,11,Thu,78.6%,156
2022-06-07 00:00:00,SDG,Ardella B.,12,Tue,78.6%,284
2022-06-09 00:00:00,SDG,Ardella B.,11,Thu,78.6%,195
2022-06-08 00:00:00,SDG,Grace G.,19,Wed,78.6%,316
2022-06-18 00:00:00,SDG,Grace G.,13,Sat,78.6%,169
2022-06-18 00:00:00,SDG,Grace G.,14,Sat,78.6%,188
2022-06-02 00:00:00,SDG,Jan T.,19,Thu,78.6%,287
2022-06-12 00:00:00,SDG,Jan T.,12,Sun,78.6%,112
2022-06-23 00:00:00,SDG,Molly L.,19,Thu,78.6%,282
2022-06-12 00:00:00,SDG,Natalie C.,14,Sun,78.6%,145
2022-06-17 00:00:00,SDG,Wilda K.,11,Fri,78.6%,165
2022-06-26 00:00:00,SDG,Wilda K.,10,Sun,78.6%,169
2022-06-26 00:00:00,SDG,Wilda K.,14,Sun,78.6%,146
2022-06-06 00:00:00,SHV,Alvan C.,8,Mon,76.9%,118
2022-06-06 00:00:00,SHV,Alvan C.,9,Mon,76.9%,77
2022-06-01 00:00:00,SHV,Ana B.,17,Wed,76.9%,203
2022-06-01 00:00:00,SHV,Ana B.,19,Wed,76.9%,298
2022-06-02 00:00:00,SHV,Ana B.,12,Thu,76.9%,238
2022-06-03 00:00:00,SHV,Ana B.,17,Fri,76.9%,226
2022-06-13 00:00:00,SHV,Ana B.,17,Mon,76.9%,199
2022-06-20 00:00:00,SHV,Ana B.,19,Mon,76.9%,294
2022-06-22 00:00:00,SHV,Ana B.,17,Wed,76.9%,233
2022-06-18 00:00:00,SHV,Ashley W.,14,Sat,76.9%,188
2022-06-25 00:00:00,SHV,Ashley W.,13,Sat,76.9%,166
2022-06-07 00:00:00,SHV,Betty K.,17,Tue,76.9%,217
2022-06-12 00:00:00,SHV,Eulin T.,10,Sun,76.9%,187
2022-06-12 00:00:00,SHV,Eulin T.,14,Sun,76.9%,145
2022-06-19 00:00:00,SHV,Eulin T.,10,Sun,76.9%,164
2022-06-15 00:00:00,SHV,Evangelina M.,12,Wed,76.9%,266
2022-06-03 00:00:00,SHV,Fen L.,13,Fri,76.9%,72
2022-06-15 00:00:00,SHV,Melinda T.,7,Wed,76.9%,162
2022-06-10 00:00:00,SHV,Tracy T.,7,Fri,76.9%,129
2022-06-17 00:00:00,SHV,Tracy T.,9,Fri,76.9%,82
2022-06-26 00:00:00,SHV,Yann L.,10,Sun,76.9%,169
2022-06-08 00:00:00,SMO,Cass C.,12,Wed,76.9%,266
2022-06-12 00:00:00,SMO,Cass C.,13,Sun,76.9%,130
2022-06-19 00:00:00,SMO,Cass C.,13,Sun,76.9%,136
2022-06-21 00:00:00,SMO,Evangelina M.,12,Tue,76.9%,271
2022-06-02 00:00:00,SMO,Grace G.,13,Thu,76.9%,54
2022-06-09 00:00:00,SMO,Grace G.,12,Thu,76.9%,227
2022-06-16 00:00:00,SMO,Grace G.,12,Thu,76.9%,202
2022-06-23 00:00:00,SMO,Grace G.,12,Thu,76.9%,229
2022-06-03 00:00:00,SMO,Molly L.,12,Fri,76.9%,225
2022-06-13 00:00:00,SMO,Molly L.,12,Mon,76.9%,272
2022-06-04 00:00:00,SMO,Shu-yi F.,11,Sat,76.9%,236
2022-06-18 00:00:00,SMO,Shu-yi F.,11,Sat,76.9%,240
2022-06-17 00:00:00,SMO,Sophia S.,17,Fri,76.9%,185
2022-06-11 00:00:00,SPL,Cass C.,10,Sat,76.5%,257
2022-06-15 00:00:00,STP,Celia H.,18,Wed,76.2%,490
2022-06-06 00:00:00,STP,Fen L.,17,Mon,76.2%,197
2022-06-21 00:00:00,SPL,Ashley W.,12,Tue,75.0%,271
2022-06-10 00:00:00,SPL,Cass C.,11,Fri,75.0%,161
2022-06-18 00:00:00,SPL,Cass C.,10,Sat,75.0%,259
2022-06-21 00:00:00,SPL,Fen L.,19,Tue,75.0%,276
2022-06-16 00:00:00,SPL,Natalie C.,19,Thu,75.0%,243
2022-06-19 00:00:00,SPL,Nicole C.,12,Sun,75.0%,116
2022-06-25 00:00:00,SPL,Nicole C.,12,Sat,75.0%,203
2022-06-17 00:00:00,SPL,Pfeiffer C.,9,Fri,75.0%,82
2022-06-23 00:00:00,SRP,Molly L.,13,Thu,73.7%,67
2022-06-01 00:00:00,SRP,Natalie C.,18,Wed,73.7%,436
2022-06-11 00:00:00,SRP,Natalie C.,14,Sat,73.7%,181
2022-06-06 00:00:00,SDG,Alvan C.,18,Mon,71.4%,457
2022-06-13 00:00:00,SDG,Alvan C.,18,Mon,71.4%,449
2022-06-07 00:00:00,SDG,Ardella B.,10,Tue,71.4%,101
2022-06-01 00:00:00,SDG,Grace G.,18,Wed,71.4%,436
2022-06-04 00:00:00,SDG,Jan T.,9,Sat,71.4%,191
2022-06-05 00:00:00,SDG,Jan T.,11,Sun,71.4%,153
2022-06-16 00:00:00,SDG,Jan T.,19,Thu,71.4%,243
2022-06-26 00:00:00,SDG,Wilda K.,11,Sun,71.4%,165
2022-06-26 00:00:00,SDG,Wilda K.,12,Sun,71.4%,150
2022-06-02 00:00:00,STP,Betty K.,11,Thu,71.4%,156
2022-06-15 00:00:00,STP,Celia H.,19,Wed,71.4%,259
2022-06-19 00:00:00,STP,Celia H.,11,Sun,71.4%,182
2022-06-19 00:00:00,STP,Celia H.,13,Sun,71.4%,136
2022-06-26 00:00:00,STP,Celia H.,12,Sun,71.4%,150
2022-06-23 00:00:00,STP,Fen L.,18,Thu,71.4%,397
2022-06-25 00:00:00,STP,Wilda K.,13,Sat,71.4%,166
2022-06-25 00:00:00,STP,Wilda K.,14,Sat,71.4%,172
2022-06-13 00:00:00,SHV,Alvan C.,9,Mon,69.2%,116
2022-06-09 00:00:00,SHV,Ana B.,10,Thu,69.2%,82
2022-06-13 00:00:00,SHV,Ana B.,18,Mon,69.2%,449
2022-06-14 00:00:00,SHV,Ana B.,8,Tue,69.2%,141
2022-06-15 00:00:00,SHV,Ana B.,19,Wed,69.2%,259
2022-06-17 00:00:00,SHV,Ana B.,17,Fri,69.2%,185
2022-06-21 00:00:00,SHV,Ana B.,8,Tue,69.2%,123
2022-06-24 00:00:00,SHV,Ana B.,17,Fri,69.2%,201
2022-06-16 00:00:00,SHV,Ashley W.,7,Thu,69.2%,138
2022-06-16 00:00:00,SHV,Ashley W.,8,Thu,69.2%,89
2022-06-16 00:00:00,SHV,Ashley W.,9,Thu,69.2%,88
2022-06-18 00:00:00,SHV,Ashley W.,13,Sat,69.2%,169
2022-06-23 00:00:00,SHV,Ashley W.,9,Thu,69.2%,100
2022-06-07 00:00:00,SHV,Eulin T.,19,Tue,69.2%,308
2022-06-19 00:00:00,SHV,Eulin T.,11,Sun,69.2%,182
2022-06-10 00:00:00,SHV,Evangelina M.,17,Fri,69.2%,196
2022-06-22 00:00:00,SHV,Evangelina M.,10,Wed,69.2%,102
2022-06-22 00:00:00,SHV,Evangelina M.,13,Wed,69.2%,67
2022-06-03 00:00:00,SHV,Fen L.,10,Fri,69.2%,107
2022-06-01 00:00:00,SHV,Melinda T.,7,Wed,69.2%,177
2022-06-08 00:00:00,SHV,Melinda T.,8,Wed,69.2%,111
2022-06-22 00:00:00,SHV,Melinda T.,7,Wed,69.2%,184
2022-06-24 00:00:00,SHV,Tracy T.,7,Fri,69.2%,124
2022-06-19 00:00:00,SMO,Cass C.,15,Sun,69.2%,127
2022-06-22 00:00:00,SMO,Cass C.,12,Wed,69.2%,245
2022-06-26 00:00:00,SMO,Cass C.,15,Sun,69.2%,109
2022-06-14 00:00:00,SMO,Evangelina M.,11,Tue,69.2%,150
2022-06-16 00:00:00,SMO,Grace G.,13,Thu,69.2%,49
2022-06-03 00:00:00,SMO,Molly L.,11,Fri,69.2%,158
2022-06-25 00:00:00,SMO,Shu-yi F.,12,Sat,69.2%,203
2022-06-14 00:00:00,SMO,Sophia S.,18,Tue,69.2%,470
2022-06-24 00:00:00,SPL,Ana B.,14,Fri,68.8%,59
2022-06-21 00:00:00,SPL,Ashley W.,11,Tue,68.8%,183
2022-06-05 00:00:00,SPL,Molly L.,9,Sun,68.8%,204
2022-06-06 00:00:00,SPL,Molly L.,16,Mon,68.8%,106
2022-06-26 00:00:00,SPL,Molly L.,11,Sun,68.8%,165
2022-06-09 00:00:00,SPL,Nicole C.,10,Thu,68.8%,82
2022-06-16 00:00:00,SPL,Nicole C.,10,Thu,68.8%,103
2022-06-18 00:00:00,SPL,Nicole C.,12,Sat,68.8%,188
2022-06-24 00:00:00,SPL,Pfeiffer C.,9,Fri,68.8%,80
2022-06-20 00:00:00,SPL,Sandy S.,13,Mon,68.8%,92
2022-06-22 00:00:00,SRP,Molly L.,12,Wed,68.4%,245
2022-06-04 00:00:00,SRP,Natalie C.,10,Sat,68.4%,247
2022-06-24 00:00:00,SRP,Natalie C.,19,Fri,68.4%,154
2022-06-14 00:00:00,SRP,Pfeiffer C.,11,Tue,68.4%,150
2022-06-02 00:00:00,SRP,Waihan K.,19,Thu,68.4%,287
2022-06-09 00:00:00,STP,Betty K.,9,Thu,66.7%,105
2022-06-24 00:00:00,STP,Celia H.,18,Fri,66.7%,275
2022-06-01 00:00:00,STP,Joanna C.,8,Wed,66.7%,134
2022-06-02 00:00:00,STP,Molly L.,19,Thu,66.7%,287
2022-06-04 00:00:00,STP,Wilda K.,14,Sat,66.7%,198
2022-06-18 00:00:00,STP,Wilda K.,13,Sat,66.7%,169
2022-06-21 00:00:00,SDG,Alvan C.,19,Tue,64.3%,276
2022-06-04 00:00:00,SDG,Grace G.,13,Sat,64.3%,165
2022-06-04 00:00:00,SDG,Grace G.,14,Sat,64.3%,198
2022-06-11 00:00:00,SDG,Jan T.,10,Sat,64.3%,257
2022-06-06 00:00:00,SDG,Wilda K.,11,Mon,64.3%,156
2022-06-19 00:00:00,SDG,Wilda K.,13,Sun,64.3%,136
